id,offerer,recipient,transactionHash,blockNumber
0x00036fbed26cb6da440c47a774efe9999e311eef4104513239f1fb95cb42cc58-158,0xdfcba7eae632a6ea1be4d1ce59700b2c23db8435,0x66e37565d2ab4ea4872b9c084e7e1ab2628a64de,0x00036fbed26cb6da440c47a774efe9999e311eef4104513239f1fb95cb42cc58,14979453
0x00038369b6796fc015d4ccf48422d181b108ed11054731ea388214a8e2a4c89b-428,0x79ffccfba3322ddd7567c42c989fdf329e401691,0x856effb6d7a5588a8b2b51423fd3739e90b9b746,0x00038369b6796fc015d4ccf48422d181b108ed11054731ea388214a8e2a4c89b,15016470
0x0003a29b2b8ded7d7dd0c9edcc249f3cddd6c9971a25a73e849713de1b822c27-126,0x572b00b5a4c392c0a8900db19fcebe51d74f795f,0x6e00fb207d6d10779e99cec539a02b9e185f3f36,0x0003a29b2b8ded7d7dd0c9edcc249f3cddd6c9971a25a73e849713de1b822c27,14984549
0x0003ef9bb2697190226cad0b4a3d76e7ecaeb272a04255d01af2bfddb1d483e4-76,0x0b65df586d046f1ba11679d41ab8b81c6c5683dd,0xcf3fb08fb4f6c27be232c1c36b06bbeddd2dae01,0x0003ef9bb2697190226cad0b4a3d76e7ecaeb272a04255d01af2bfddb1d483e4,14980595
0x0004095cceee5f224cfdb515738c8a8deb595f099fac5bfbce044fa25f261720-150,0xbae7137224c6ead296de2a62a441da4708afaac1,0xa52272a01bba36a827a62d1d2b48053844a42e70,0x0004095cceee5f224cfdb515738c8a8deb595f099fac5bfbce044fa25f261720,14992573
0x0004b0c20ccde43bd2d33a6e2d1fcae58b0562357eb1f26511668f20208588d7-576,0xc813825dbf0c93a5900232cab1a8da37b1c10a84,0xfe6b7a4494b308f8c0025dcc635ac22630ec7330,0x0004b0c20ccde43bd2d33a6e2d1fcae58b0562357eb1f26511668f20208588d7,15020546
0x0004de2bb990c7060a58e05aaade755f482a5e7bfbfdfd7feaad72e46176f67d-365,0xd0ee05fb48dc99696c50939226d9e6113948e284,0xc754d3a9833d8a82ecf35ae7f9cf930505dee2be,0x0004de2bb990c7060a58e05aaade755f482a5e7bfbfdfd7feaad72e46176f67d,14985622
0x0004e3cb7a954e057d975f13ad0877368856f352236262defb275a92d7015c05-342,0x4163332f9bc103d5416ec9e332461abf58b0eb18,0xd6a8723d1e07c36b0006cd5406e5a4f859813531,0x0004e3cb7a954e057d975f13ad0877368856f352236262defb275a92d7015c05,15019387
0x0004f67a654e4d031a3364097610a6e75e65c6a931527bfb0c5898eeec3aa002-130,0xbc15a5465ef13dbdc410930273c63eed076935c4,0xf02ea64887d6e0febae0853e0d3a9ff0ea0d74fa,0x0004f67a654e4d031a3364097610a6e75e65c6a931527bfb0c5898eeec3aa002,15005667
0x0005452cd52e892f3c320cb3fdcfb0376b76f547c5da31873355770a3b865ccc-145,0x98f6d93ba4f14517d3655f4481118182200d1d59,0xb01034791c32239152e258375f24000c64553d72,0x0005452cd52e892f3c320cb3fdcfb0376b76f547c5da31873355770a3b865ccc,14999162
