id,priceETH,timestamp,transactionHash,collection_id,collection_name
0x00002f49930d05177ac57c21894ea9b1a20b5724da5334a54ffbf4ab087e4112-181,0.24,1658741705,0x00002f49930d05177ac57c21894ea9b1a20b5724da5334a54ffbf4ab087e4112,0x212590b0dac9502e0591b79db4cedeb6356dcc36,
0x00003305ab5b7b114f10f8d8f6fe8a8f0aaa8758e3033a2ccfb24a3dfe7fe117-68,0.084,1673038919,0x00003305ab5b7b114f10f8d8f6fe8a8f0aaa8758e3033a2ccfb24a3dfe7fe117,0x85187e4d4681b06fa62338c54a61304057115a2f,The Gemesis by Johnathan Schultz
0x0000399353cb727ac601aacae66f6d708fdc293b30602b0d4a5f3cdd85833937-346,0.1343,1665241847,0x0000399353cb727ac601aacae66f6d708fdc293b30602b0d4a5f3cdd85833937,0x771cb139a67a420c277e5bfcb33fbb007bc0db2c,ShibuyaScramblePunks
0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056-60,0.068,1665022379,0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056,0xec64d881dbfd5871320e465562d913bdc25ce8fe,The Chimpsons
0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056-61,0.067,1665022379,0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056,0xec64d881dbfd5871320e465562d913bdc25ce8fe,The Chimpsons
0x00003baae3b2ca64b8a36193657f68ff971522a7dc1bebcea2cb4f454a16fca0-153,0.024,1662785863,0x00003baae3b2ca64b8a36193657f68ff971522a7dc1bebcea2cb4f454a16fca0,0x2e91afa008e2c860085d97e41d73890f22007f78,
0x00003e6c4a3cb88993d0b2dade1d034ea1fb09dd66944bcbbae14e94ab8ee255-313,0.00787,1666863431,0x00003e6c4a3cb88993d0b2dade1d034ea1fb09dd66944bcbbae14e94ab8ee255,0xdb33e01e8e04bbddef63981579f3e19a9aa3b765,CC0Fighters
0x00003eaca2d8a0ab9590c94a9dd86e0c827b3f0e56a1f8570e5afe6706176fd8-175,0.099,1677245507,0x00003eaca2d8a0ab9590c94a9dd86e0c827b3f0e56a1f8570e5afe6706176fd8,0xda2686fd32c6b74d55605cfb48bef331771e7fc6,Compass Lifetime Pass
0x00003fa6f7bc2127c5901647eff0f244a6bcdc781c016ccea8eea8c12bb5ecd9-152,0.0093,1675610759,0x00003fa6f7bc2127c5901647eff0f244a6bcdc781c016ccea8eea8c12bb5ecd9,0x7167d8eff9d7e8f58c58001697a61a71150e79bf,Comedian
0x00003fc6120f41e1104a406a0d72b7b49c9aff3fae3413b0cced027c28538342-185,0.05,1666511903,0x00003fc6120f41e1104a406a0d72b7b49c9aff3fae3413b0cced027c28538342,0xe6cd27559e216d406bbf669cc364df79cc80b062,MavionWorld x Rebecca Minkoff
0x00004126377f38395e097c624f4c6799ea863848d316e1b78c0e7a166b551311-245,0.0066,1661444015,0x00004126377f38395e097c624f4c6799ea863848d316e1b78c0e7a166b551311,0xc60136888d270a74c78c347438c1ef11507087ee,Toshimeta
0x000043e7d363d7d269c279e888cfe6b569e8a48f315736a00bdf06ff8627cafc-162,0.095,1674126971,0x000043e7d363d7d269c279e888cfe6b569e8a48f315736a00bdf06ff8627cafc,0x4addca4c07a5e9a6b4973094d03ad5aae7735e5b,(B)APETAVERSE
0x0000469192d4178d07fa48da81f02ee6fbebc4947757aa5a48528df17ca3421d-38,0.117,1660147734,0x0000469192d4178d07fa48da81f02ee6fbebc4947757aa5a48528df17ca3421d,0xbcd1a163dee3ac31342eb6626f28e45d637dd091,ESION
0x000046d635f4c234ce7df6a0e7284541894fa181d0ab669d024b165d04bdc8dd-479,0.044,1662618483,0x000046d635f4c234ce7df6a0e7284541894fa181d0ab669d024b165d04bdc8dd,0x705b9dbd0d5607beafe12e2fb74d64268d3ba35f,y00ts Yacht Club
0x000047bf62d55da135b83388be9fb55db65b1d885dcad94a0c5c8134fe2f8ee3-122,0.0355,1665152867,0x000047bf62d55da135b83388be9fb55db65b1d885dcad94a0c5c8134fe2f8ee3,0xd7ac080800566d42ab9789a99b7ed0dd5ecbe594,Psychonaut Ape Division
0x0000499f5bcd350f9c1f8088e1ad104f1d1534b2df760ab512c1dbf5bfc9a7db-334,0.203,1673226371,0x0000499f5bcd350f9c1f8088e1ad104f1d1534b2df760ab512c1dbf5bfc9a7db,0x809d8f2b12454fc07408d2479cf6dc701ecd5a9f,BBRC OFFICIAL - IVY BOYS
0x00004b1d97d9249904fd8a6241732b6155c66402f0cdc6e771d20864c6ebf8ed-44,0.1288,1668852923,0x00004b1d97d9249904fd8a6241732b6155c66402f0cdc6e771d20864c6ebf8ed,0x662081d1df478ba4aceda637dcf1ef762e7a3a6e,1984Redux
0x00004b36cc94d9c9c89ffe32d64a1f62f731f7dd959a709d0be26c962548994e-83,0.009,1672151231,0x00004b36cc94d9c9c89ffe32d64a1f62f731f7dd959a709d0be26c962548994e,0x06bdc702fb8af5af8067534546e0c54ea4243ea9,Fury of the Fur
