id,name,symbol,totalSupply,tradeCount,creatorRevenueETH,totalRevenueETH
0x00723c39194f7f449be736da0d1c4ec809dde793,YouAreTheChampion,YATC,520,62,3.905171000000000003,11.238521000000000003
0x00758fb0c83a68b6ce4fcf1d2665600f3f0e4570,Juicebox Frens,JBF,6969,826,0.61094111574989609,0.842327726890996088
0x007651fe8693c5247e45f66f378ebb2d5c372e70,Coin Critters Vol. 2,CCV2,469,38,0.012872223,0.0174694455
0x00790caa0331e4d92417458978b635061fec0ba8,Bird Samurai,BS,666,1,0,0.00035
0x007af8ab4f1933c1e1512f344f132d0502b2ef33,STAPLEVERSE - BIG APPLE GUILD,,,9,0.425000000000000006,1.082250000000000006
0x007b3d01c7f7249b8f9803f74b83232f1391b54c,Firework in Geometry,Firework in Geometry,341,37,0.008991,0.011988
0x007bb386e802c79138e059ddc580c34ff9c22926,PIXELME BY JOJOTOELECTRICO,PXME,,11,0,0.00525
0x007c9aa9dd9d0cc266e9d693bf0b1bb4ffade134,Smurfs City,SC,157,83,0.000000000000000002,0.532526500000000002
0x007e9a6543247e5360b8cb85e9d96228d387fd36,,,,203,0.010000000000000005,0.064530500000000005
0x007f8f8ba11b75ca7030ed563eb7ca1a16f966ec,illaz,ILLAZ,,156,0.038948639993,0.069429889993
0x008051e6a1c7f7253443917a569236c12cbbb1d1,WeinerFish,WF,2800,1,0.000055,0.00008
0x00808c4201db673c00950b291ecd23bb9c1c6b0f,Turf Objects,TURF_OBJ,,58,0.043865000000000007,0.075422500000000007
0x0081571c56971098d8b319048909114924d0eb6c,FrenchBeef,BEEF,500,13,0.0017505,0.002334
0x0084837cc386150e56c0e93f2e59469579da5443,BUGCITY,BUG,916,174,0.390334500000000005,0.589859500000000005
0x0087b7e60ecdd5f3b711d205484f5010cef47729,Shadow of the Ninja,SotN,20,12,0.0000068,0.0039643
0x0088e3dfd8683bfa15438101c567d514970f923f,Limited Editions by Roman Kägi,ROMAN,,6,0,0.0045
0x008a9dfaf4f8e6636aa1817aa97a3b6adfa5de91,Baghodling Badgers,BHB,999,258,0.0732793361,0.10981900415
0x008c69e0c66ebd4b228d27f2162ad54ab1b7dde1,BIG3 Ownership,BIG3,570,74,15.795895555555555579,23.074869444444444465
0x008ed2d38d6cdd6fa74ff081a70b15f77d92da05,PixelCatClub,CAT$,1500,47,0.016540500000000005,0.027709750000000005
0x00934b20166b0ab024ec0e6384b4d2470180ebf1,Pikachu Ape Yacht Club,PAYC,383,2,0.0009,0.001275
0x009698f70d02aa9455e98deefe5044f17505c9f2,Landscapes by Bartoli,LANDS,101,1,0.00001,0.0000125
0x009c5b7ff119972e3437b51c4f94addb8dbb2bcd,,,,173,1.442140900000000055,1.957546275000000055
0x009ddd43c96aa39e043a3e89cc87853e60fe32fa,Ape_Warrior,AW,50,55,0,0.499905
0x009f61b002ad2265f8678e7b6778dd32083abea8,MadFlowerz,MDFZ,348,2,0,0.000125
0x00a3173db1c2383a7736914dce23b00865c54980,CNPES Generative,CNPES,1565,11,0.0070372,0.0087965
0x00a4d8e91d92595972ea5810537d87eb664f5bcd,Badlanders,Badlanders,1551,40,0,0.00079725
0x00a52503faff391507fc90a2f931f8f61f67d816,Dieu Merci,DMT,86,7,0.000310000000000001,0.000712500000000001
